名稱,人名ID,姓名,出生時間,辭世時間,字,號,原名,姓,諱名,筆名,幼名,學名,譜名,別號,居室名,泮名,共同筆名,其它名稱,翻譯的語言別,原民族群,祖籍,原籍,籍貫,出生地,辭世地點,性別,理論,作家簡介,圖像預覽,引用自,圖像權利註記,網站顯示區域,提要撰寫,朝代,年號,作品出處,宗教信仰,稱譽,當代相關研究,族群,維基數據,虛擬國際權威檔案,資料外部連結,備註,原始資料,最後修改時間,url
,PER983,丁秉鐩,1916-00-00,1980-00-00,,,,,,燕京散人,,,,,,,,,,,,,北京市,,,男,,丁秉鐩，男，筆名燕京散人，籍貫北京市，1916年生，1949年前後來臺，1980年辭世，享年64歲。燕京大學新聞系畢業。曾任中國廣播公司節目主持人，並為著名劇評家。丁秉鐩創作文類包括散文、劇本與傳記。其創作多著重在平劇演員的介紹與軼事，對於名伶的記載，最早可追溯到1914年，熟悉平津梨園掌故，資料忠實地呈現平劇發展歷程。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER983
,PER751,丁威仁,1974/10/7,0000-00-00,,,,,,kylesmile,,,,,,,,,,,,,臺灣基隆,,,男,,丁威仁，男，筆名kylesmile，籍貫臺灣基隆，1974年10月7日生。淡江大學中文系畢業，中興大學中文系碩士，東海大學中文系博士。曾任教於逢甲大學、東海大學及朝陽科技大學，曾為創世紀詩社同仁。現任新竹教育大學語文系助理教授兼課外活動組組長，並為笠詩社同仁與拓詩社社長。曾獲聯合報文學獎、教育部文藝創作獎、吳濁流文藝獎、苗栗夢花文學獎、全國優秀青年詩人獎、全國學生文學獎、創世紀50年詩創作獎等獎項。丁威仁創作文類以詩為主。詩作多以網路為發表場域，對臺灣網路詩著力甚深，時常思索形式與內涵之間的議題，對「什麼是詩」抱持著強烈的探索興趣，創作外另有論文討論相關現象。其詩風詭譎多變，偏好使用強烈的語言表達感受，富有動感的畫面。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER751
,PER7561,丁庭宇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7561
,PER984,丁洪哲,1939/10/13,1996/11/27,,,,,,,,,,,,,,,,,,,瀋陽市,,,男,,丁洪哲，男，籍貫瀋陽市，1939年10月13日生，1996年11月27日辭世，得年57歲。淡江大學中文系畢業，戲劇編導人員高等考試及格。曾任教於淡江大學大眾傳播系、政戰學校影劇系、世界新專電影科等，講授影劇有關課程。曾獲中國文藝協會戲劇導演獎章、教育部舞臺劇導演金鼎獎及張道藩劇本創作首獎。丁洪哲創作文類以劇本為主，兼及論述。論述多為影劇評論，散見各報章雜誌，兼顧中西戲劇之比較，劇本創作以闡揚人性為宗旨，以演出為主要目標。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER984
,PER6829,丁祖林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6829
,PER109905,丁貞婉,1936/6/2,0000-00-00,,,,,,,,,,,,,,,,,,,臺灣彰化,,,女,,丁貞婉，女，籍貫臺灣彰化，1936年6月2日生。臺灣大學外文系畢業。曾前往英國倫敦大學研究一年。曾任臺中女中教師，中興大學外文系副教授兼系主任。現已退休。丁貞婉創作文類以論述為主。以英國文學為主要研究領域，有系統介紹英國經典作家與當代作者，勾勒作家生平，並對其經典作品進行賞析，論述時引用其作則中英文相照，詳加描述原文中不易由中文表達的聲韻、典故與風味，引領讀者一窺眾多經典之原貌。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER109905
,PER7048,丁畢汝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7048
,PER986,丁偉華,1954/10/18,0000-00-00,,,,,,,,,,,,,,,,,,,江蘇江寧,臺灣,,女,,丁偉華，女，籍貫江蘇江寧，1954年10月18日生於臺灣。臺灣師範大學社會教育系畢業。歷任《國語日報》採訪組主任、基督教晨曦會主任祕書、玉山社出版公司副總編輯。現任雲海文字工作室企畫主任。丁偉華創作文類為散文。作者將生活中所思所感，化為文字，傳達人性的複雜與纖細、鄙俗與高貴，呈現世間萬般風情。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER986
,PER987,丁國富,,,,,,,,,,,,,,,,,,,,,臺灣彰化,,,男,,丁國富，男，1940年2月13日生於臺灣彰化。臺灣師範大學美術系畢業。曾任鹿港民俗文物館執委、《彰化青年》雜誌編輯、彰化縣精誠高中總務主任，公務之餘潛心繪畫，已舉辦多次個人畫展。現已退休。丁國富創作文類以散文為主。從美學的觀點出發，發抒人與自然共生共榮的感言，並銳利的引出社會現況，對於生命存著慈悲之心，筆下表達對萬事萬物的尊重。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER987
,PER988,丁善璽,1936/5/29,0000-00-00,,,,,,羊爾,,,,,,,,,,,,,江蘇江都,,,男,,丁善璽，男，曾用筆名爾羊，籍貫江蘇江都，1936年5月29日生於青島市，1949年前後來臺。臺灣藝術專科學校影劇編導科畢業。曾任邵氏、中央電影公司、統一、嘉禾、第一電影公司編劇及導演等，並曾自組巨人公司。現旅居美國。曾獲金馬獎最佳導演獎、亞洲影展編劇獎、亞洲影展最佳導演獎。丁善璽的創作文類以劇本為主，兼及小說。丁善璽是七、八○年代臺灣國片重要的導演之一，從1968年的首部導演作品《虎父虎子》後，開啟了他的導演生涯。以拍攝戰爭電影而廣為人知，但其作品種類十分多元，包括俠義電影、鄉野傳說、文藝片、武俠片等。他為中央電影公司所拍攝的《英烈千秋》、《八百壯士》等片，不但使中央電影公司成為政治宣傳片的龍頭，也讓自己的電影事業攀上高峰。三十多年來總共執導過69部影片，也曾以爾羊為筆名寫過小說。1994年亦開始寫作電視劇本。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER988
,PER989,丁慰慈,1915/7/26,2007/8/5,,,,,,,,,,,,,,,,,,,貴州貴定,,,男,,丁慰慈，男，籍貫貴州貴定，1915年7月26日生，1950年來臺，2007年8月5日辭世，享年93歲。中央政治學校（現政治大學）畢業。曾任外交部駐新疆特派員公署科長、中華民國駐莫斯科大使館三等祕書、中央署科長，並任職於中東地區、南美地區大使館，亦曾任教於中央警官學校、政治大學、中國文化大學、輔仁大學等校，1979年自外交部退休後，擔任中華民國阿拉伯文化經濟協會顧問。丁慰慈的創作文類以散文為主。多為短小精悍的雜文，以其豐富的知識和精到的見解，為時代做見證。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER989
,PER990,丁潁,1928/10/9,0000-00-00,,,丁載臣,,,,,,,,,,,,,,,,安徽阜陽,,,男,,丁潁，男，本名丁載臣，籍貫安徽阜陽，1928年10月9日生，1948年底來臺迄今。安徽大學中文系畢業。來臺後，先後擔任中學教員、記者、編輯、主任、經理、社長等職，先後創辦《中國郵報》、《亞太時報》、《全民生活雜誌》、《中國醫藥報》等。現任《世界論壇報》發行人，藍燈文化事業公司董事長，河南開封大學名譽校長。1977年與高準、郭楓、吳宏一、王津平、李利國等人創辦詩潮詩社，發行《詩潮》詩刊（1977年5月～1994年12月）。丁潁的創作文類有詩、散文和小說。早期曾加入紀弦領銜的現代派，作品頗受西洋浪漫主義和新月派詩人徐志摩的啟迪，文筆飄逸清新；後期作品，則受現代主義和現代詩的表現技巧影響。周伯乃曾形容他是一個多情而博愛的憂鬱詩人。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER990
,PER991,丁樹南,1923/8/7,2009/9/1,,,歐坦生,,,"平山
羅笛
異風",,,,,,,,,,,,,福建福州,,,男,,丁樹南，男，本名歐坦生，筆名平山、羅笛、異風等，籍貫福建福州，1923年8月7日生，1947年2月來臺，2009年9月1日辭世，享年87歲。暨南大學福建建陽分校畢業。曾任福州《粹報》編輯兼駐臺特派員，歷任國小校長及中學教師近四十年。丁樹南創作文類包括論述、散文及小說。早期作品散見各報副刊及上海《文藝春秋》雜誌，小說取材自現實生活，傾向於寫實，以真實的人物為底，充滿生活的痕跡與氣味，楊逵標舉他的作品〈沉醉〉為「臺灣文學的好樣本」。中年以後轉向於翻譯與理論評介，曾翻譯寫作理論書多種，其中《小小說的寫作與欣賞》啟動了臺灣小小說（以及後來的「極短篇」）的寫作風氣。曾與馬各合編《五十六年短篇小說選》、《五十五年短篇小說選》。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER991
,PER7408,丁穎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7408
,PER992,七等生,1939/7/23,2020/10/24,,,劉武雄,,,,,,,,,,,,,,,,臺灣苗栗,,,男,,七等生，男，本名劉武雄，籍貫臺灣苗栗，1939年7月23日生，2020年10月24日辭世，享年81歲。臺北師範學校藝術科畢業。曾任國小教師。退休後專事寫作。曾獲臺灣文學獎、聯合報小說獎、中國時報文學推薦獎及吳三連文藝獎。1962年首次在《聯合報》副刊發表短篇小說，在主編林海音的鼓勵下，半年間刊登了11個短篇；1966年與尉天驄、陳映真、施叔青等人創辦《文學季刊》；1977年，遠行出版社出版「七等生小全集」（10冊）；1983年應邀赴美國愛荷華大學「國際作家工作坊」訪問5個月。七等生創作文類以小說為主，兼及詩、散文、攝影等作品。小說以自繪自剖為基本主題，表現個人與社會標準衝突而產生的對立，在內心產生種種的矛盾與扭曲，葉石濤曾評論七等生作品為：「描寫的是我國現代人的心理悲劇」。七等生的小說中對人性隱微面的深邃挖掘，揭示了人類在無法逃避現實社會規範底下的精神扭曲與衝突，呈現出當代人類心靈徬徨與苦悶的「不完整」圖像，再加上真幻揉雜的手法以及抽離了時空、人物、內容現實指涉的情節設計，使得七等生的小說獨具特色。七等生戀慕家鄉的土地傳統，卻也不能放棄流浪的誘惑，從而不自覺地走上隱遁和孤獨的個人世界。除了寫作，他熱衷於繪畫、攝影，曾開過畫展，出版攝影、生活札記《重回沙河》，希望透過攝影的表達方式呈現他對故鄉的情感。2006年張恆豪重新為其主編出版《七等生全集》，使其作品完整呈現。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER992
,PER5802,乜寇．索克魯曼,1975-00-00,,,,,,,,,,,,,,,,,布農族,,,,南投,,男,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER5802
,PER993,九九,1979/12/31,0000-00-00,,,黃麗群,,,,,,,,,,,,,,,,臺灣臺北,,,女,,九九，女，本名黃麗群，籍貫臺灣臺北，1979年12月31日生。政治大學哲學系畢業。曾任《自由時報》副刊編輯。現專事寫作。曾獲中國時報短篇小說評審獎、聯合文學獎等獎項。九九的創作文類以小說為主。散文式的小說，語言乾淨明快，語鋒幽默尖銳，擅於細節的描述，能完全掌握短篇小說起承轉合的故事節奏，傅月庵謂其小說「尺幅千里，雖『極短』而真有可觀之處」。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER993
,PER994,九把刀,1978/8/25,0000-00-00,,,柯景騰,,,,,,,,,,,,,,,,臺灣彰化,,,男,,九把刀，男，本名柯景騰，籍貫臺灣彰化，1978年8月25日生。交通大學管理系畢業，東海大學社會學系碩士。曾任《中國時報》專欄作家，現專職寫作。曾獲可米百萬小說首獎、磺溪文學小說獎等獎項。九把刀的創作文類以小說為主，兼及散文。1988年以小說《恐懼炸彈》在網路上一炮而紅，之後持續寫作，常在報刊連載或雜誌專欄發表文章，2000年開始在網路上創作。寫作題材包括武俠、科幻、言情等類型，敘事則帶有電影風格，內容知性犀利直爽，感性風趣詼諧。香港武俠作家黃易認為九把刀是「天才橫溢的說書高手」。作品陸續改編為電視劇、電影、線上遊戲。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER994
,PER995,二呆,1916/6/1,1995/2/13,,,趙同和,,,"趙二呆
趙中平",,,,,,,,,,,,,江蘇鎮江,,,男,,二呆，男，本名趙同和，另有筆名趙二呆、趙中平，籍貫江蘇鎮江，1916年6月1日生，1949年來臺，1995年2月13日辭世，享年79歲。西北大學政治系畢業。歷任三元、將樂、林森縣縣長及農工企業總經理。1988年落居澎湖，並於澎湖縣立文化中心內設「二呆藝館」，從事各項藝術創作。二呆創作文類為散文，亦有詩句作品。偏文言文的文采，在無常的人世之中，體會豁達，展現隨性，並將之寓於文字，常見引經據典，顯現文學根柢的淳厚，傳達出歷經沉潛後的人生智慧。除了文學創作，二呆更致意於各項藝術創作，包括有水墨、書法、素描、西畫、篆刻、雕塑、陶藝、版畫、攝影、詩文等。尤以水墨、陶藝最為人稱道。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER995
,PER996,人二雄,1969-00-00,0000-00-00,,,詹仁雄,,,,,,,,,,,,,,,,臺灣桃園,,,男,,人二雄，男，本名詹仁雄，籍貫臺灣桃園，1969年生。實踐大學應用美術系（今實踐大學設計學院）畢業。曾任電視節目製作助理。現為節目製作人。詹仁雄的創作文類包括散文與圖文創作。其早期創作以四格漫畫方式呈現，呈現都會男子的各種生活現象，自云希冀創作「讀者無法猜測的故事」。後期創作以散文為主，主要分成兩類：一類以嘲諷的筆調來描寫都會男女情事，一類則以幽默的口吻書寫旅行時所得所見。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER996
,PER997,十方,1970-00-00,0000-00-00,,,王建福,,,,,,,,,,,,,,,,福建福清,臺灣,,男,,十方，男，本名王建福，籍貫福建福清，1970年生於臺灣。專科畢業。現從事文字創作、唱片填詞、唱片企畫、廣播企畫等工作，並為社團法人中華音樂著作權仲介協會會員。曾獲統一夢公園十大好詞、中視「阿信」百萬徵文首獎。十方創作文類以小說為主。20歲發表第一首作品，開始了他的創作之旅。十方長於經營小品，不論歌詞、小說，常有令人驚喜的感動，認為藉著寫小說可以平衡心理時鐘。十方的文字不求華麗，但以創意巧思取勝。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER997
,PER998,卜大中,1948/4/11,0000-00-00,,,,,,蔣孝化,,,,,,,,,,,,,河北定縣,南京市,,男,,卜大中，男，筆名蔣孝化，籍貫河北定縣，1948年4月11日生於南京市，1948年底隨父母來臺迄今。政治大學外交系畢業，政治大學東亞所碩士，美國維吉尼亞大學碩士。曾先後任《中國時報》資料中心、大陸中心主任，《時報雜誌》總編輯，美洲《中國時報》副總編輯，《中國時報》駐美西特派記者、副總主筆。現為《蘋果日報》總主筆。卜大中創作文類以論述、小說、散文為主。論述內容多為時事、政論；小說也是政治小說；散文更以臧否時事、文化觀察、社會觀察為主。對政治現實的敏感傾向，使其作品具有黑色幽默的特質。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER998
,PER999,卜少夫,1909/6/21,2000/11/4,,,卜寶源,,,"小夫
梯樓
小芙
二在
夏萊
王幸之
O.K.",,,,,,,,潤生,,,,,江蘇江都,鎮江,,男,,卜少夫，男，原名卜寶源，別號潤生，另有筆名小夫、梯樓、小芙、二在、夏萊、王幸之、O.K.等，籍貫江蘇江都，1909年6月21日生，1949年5月自上海赴香港定居，2000年11月4日辭世於香港，享年92歲。上海吳淞中國公學肄業，日本明治大學新聞科畢業。曾任報社編輯、編輯主任、採訪主任、特派員、資料室主任、副總編輯、總編輯，並任江西怒潮劇社教師、中國新聞專科學校教授、上海復旦大學副教授、香港聯合書院副教授。1945年創辦《新聞天地》，1951年發起立香港《自由人周報》，1965年創辦《旅行雜誌》並任社長，為香港出版人發行人協會理事長，1981年至1986年，擔任臺灣僑選立法委員，並榮任香港出版人發行協會永遠會長、旅港蘇北同鄉會會長、臺灣駐港記者協會名譽會長及中華航空公司顧問等職。卜少夫創作文類以散文為主。以新聞人的眼光和筆觸，為文或感慨時世，或針砭時弊，皆鞭辟入裡。半個世紀以來，為了採訪新聞，他走遍了大江南北與世界各地。1976年，卜少夫整理重排其胞弟無名氏著作十本，定名為「無名氏全書」，由香港「新聞天地社」出版。所著《無名氏生死下落》一書，為無名氏生平最詳實之原始資料。編有《無名氏研究》、《周榆瑞在人間》。,,,,,,,,,,,,,,,,1949年5月自上海赴香港定居。,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER999
,PER5803,卜袞．伊斯瑪哈單．伊斯立端,1956-00-00,,,,,,,,,,,,,,,,,布農族,,,,高雄,,男,,卜袞，男，族名BukunIsmahasanIslituan（卜袞．伊斯瑪哈單．伊斯立端），漢名林聖賢，布農族，1956年生於高雄。臺灣師範大學體育系畢業，中正大學臺文所碩士。曾任布農文化發展總社社長，新竹培英國中、臺北關渡基督書院、臺中豐東國中、高雄三民國中、臺中后綜高中教師。現任原住民族文化事業基金會董事長、高雄那瑪夏布農族文化發展協會理事長。卜袞創作文類以詩為主。詩作以布農語書寫，對照漢語翻譯，描繪族人與自然的關係，呈現族群的宇宙觀，更展現對於母語文化流失的焦慮。創作外，長期推動布農語教學、傳承與推廣。,,,,,,,,,,,,,,,,,卜袞，男，族名Bukun Ismahasan Islituan（卜袞．伊斯瑪哈單．伊斯立端），漢名林聖賢，布農族，1956年生於高雄。,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER5803
,PER6608,三木直大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6608
,PER1000,三毛,1943/3/26,1991/1/4,,,陳平,,,,,,,,,,,,,,,,浙江定海,重慶市,,女,,三毛，女，本名陳平，籍貫浙江定海，1943年3月26日生於重慶市，1949年前後隨家人來臺，1991年1月4日在臺北辭世，得年48歲。中國文化大學哲學系肄業。1967年隻身遠赴西班牙，在三年之間，前後就讀西班牙馬德里大學文哲學院、德國哥德書院，在美國伊利諾大學主修陶瓷，並在法學圖書館工作。1973年，結婚後定居西屬撒哈拉加納利群島，即以當地的生活或四處旅行的觀感為寫作素材，完成膾炙人口的《撒哈拉的故事》。1981年回臺定居，曾任教於中國文化大學中文系文藝組。1984年，因健康關係，辭卸教職，而以寫作、演講為生活重心。以西班牙文所寫之中篇小說曾獲西班牙塞萬提斯文學獎。三毛創作文類主要以散文、小說為主，另亦從事翻譯、劇本寫作等。無論是題材選擇，或是藝術的表現，均有自己獨到的審美觀與技巧。以豐富的浪跡天涯經歷，描繪出斑斕的異域風光；用敏銳的感觸，融以感情的文筆，展現出熱愛生命、自然的精神，浪漫樸素且獨具神韻因而打動讀者的心。作家司馬中原就曾提到：「讀三毛的作品，發現一個由生命所創造的世界，像開在荒漠裏的繁花，她把生命高高舉在塵俗之上，這是需要靈明的智慧和極大的勇氣的。」除了寫作，三毛也翻譯漫畫《娃娃看天下》及丁松青神父的散文，並有《三毛說書》、《流星雨》、《閱讀大地》等有聲書。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1000
,PER6562,三宅清子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6562
,PER113320,上巴結,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71868E+12,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER113320
,PER7340,上田哲二,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7340
